FECHA_CORTE;UUID;ANIO_EJECUCION;FECHA_REGISTRO;NOMBRE_EPS;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;COORDENADA_ESTE;COORDENADA_NORTE;TIPO_DE_SERVICIO;ZONA;VOLUMEN_M3_DISTRIBUIDO;CANTIDAD_DISTRIBUCION;VIVIENDAS_BENEFICIADAS
20240717;1902;2020;20200012;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;772469.10;9377678.30;NORMAL;SECTOR NUEVO BAGUA: CALLE 1, CALLE 2, CALLE 3, CALLE 4, CALLE 5, CALLE 6.;34;1;100
20240717;1903;2020;20200012;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;772618.10;9377912.20;NORMAL;SECTOR NUEVO BAGUA: CALLE CARLOS NAVA, CALLE 7, CALLE 8, CALLE 9, CALLE 10, CALLE 11.;34;1;100
20240717;1931;2020;20200014;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;773319.70;9375677.60;NORMAL;SECTOR LA PRIMAVERA ;34;1;290
20240717;1932;2020;20200014;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;773343.10;9375682.00;NORMAL;SECTOR LA PRIMAVERA ;34;1;290
20240717;1938;2020;20200014;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;772483.00;9376654.80;NORMAL;SECTOR LA PRIMAVERA ;68;1;580
20240717;1948;2020;20200015;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771671.00;9377161.60;NORMAL;SECTOR NUEVO BAGUA: CALLE 1, CALLE 2, CALLE 3, CALLE 4, CALLE 5.;34;1;100
20240717;4224;2021;20210015;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;773169.30;9375711.40;EMERGENCIA;SECTOR SAN LUIS ;17;1;100
20240717;3875;2021;20210024;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771764.70;9377457.70;EMERGENCIA;SECTOR NUEVO BAGUA ;34;1;150
20240717;3890;2021;20210025;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771676.00;9377453.70;EMERGENCIA;SECTOR NUEVO BAGUA ;34;1;150
20240717;3914;2021;20210027;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771784.10;9377521.80;EMERGENCIA;SECTOR NUEVO BAGUA ;34;1;100
20240717;4022;2021;20210003;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771444.20;9376940.20;EMERGENCIA;SECTOR NUEVO BAGUA ;34;1;150
20240717;4058;2021;20210006;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;769790.00;9376330.80;EMERGENCIA;SECTOR SAN LUIS ;17;1;100
20240717;4126;2021;20210011;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;769758.30;9376263.50;EMERGENCIA;SECTOR SAN LUIS ;17;1;100
20240717;3412;2020;20200011;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771692.20;9377276.60;NORMAL;SECTOR NUEVO BAGUA ;68;1;250
20240717;3424;2020;20200013;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;772757.30;9376676.90;NORMAL;SECTOR LA PRIMAVERA ;34;1;200
20240717;3425;2020;20200013;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771609.50;9377343.30;NORMAL;SECTOR NUEVO BAGUA ;34;1;150
20240717;3565;2020;20200021;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771436.00;9377305.30;NORMAL;SECTOR NUEVO BAGUA ;34;1;130
20240717;3570;2020;20200021;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771619.10;9377307.90;NORMAL;SECTOR NUEVO BAGUA ;34;1;150
20240717;3573;2020;20200021;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771547.10;9377456.40;NORMAL;SECTOR NUEVO BAGUA ;34;1;130
20240717;3220;2020;20200030;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;773366.90;9375717.20;NORMAL;SECTOR LA PRIMAVERA ;34;1;200
20240717;3221;2020;20200030;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771777.00;9377419.00;NORMAL;SECTOR NUEVO BAGUA ;34;1;125
20240717;3225;2020;20200030;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771576.00;9377362.30;NORMAL;SECTOR NUEVO BAGUA ;34;1;130
20240717;3231;2020;20200030;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;773346.90;9375002.50;NORMAL;SECTOR LA PRIMAVERA ;34;1;200
20240717;3232;2020;20200030;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771735.80;9377560.80;NORMAL;SECTOR NUEVO BAGUA ;34;1;125
20240717;3279;2020;20200004;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771735.50;9377135.90;NORMAL;SECTOR NUEVO BAGUA ;34;1;150
20240717;3144;2020;20200025;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771676.80;9377450.40;NORMAL;SECTOR NUEVO BAGUA ;34;1;125
20240717;3183;2020;20200026;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;773383.40;9375716.00;NORMAL;SECTOR LA PRIMAVERA ;34;1;200
20240717;3184;2020;20200026;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771731.70;9377412.50;NORMAL;SECTOR NUEVO BAGUA ;68;1;250
20240717;3189;2020;20200026;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;773366.50;9375708.40;NORMAL;SECTOR LA PRIMAVERA ;34;1;200
20240717;3190;2020;20200026;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771774.00;9377452.20;NORMAL;SECTOR NUEVO BAGUA ;68;1;250
20240717;3192;2020;20200026;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771895.80;9377489.30;NORMAL;SECTOR NUEVO BAGUA ;34;1;130
20240717;2947;2020;20200014;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;772310.60;9377553.90;NORMAL;SECTOR NUEVO BAGUA ;34;1;100
20240717;2960;2020;20200014;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771593.20;9377231.60;NORMAL;SECTOR NUEVO BAGUA ;68;1;200
20240717;2961;2020;20200014;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;773978.00;9376338.60;NORMAL;SECTOR LOS OLIVOS;34;1;200
20240717;2966;2020;20200014;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771696.50;9377501.20;NORMAL;SECTOR NUEVO BAGUA ;34;1;125
20240717;2981;2020;20200015;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771645.60;9377307.80;NORMAL;SECTOR NUEVO BAGUA ;34;1;125
20240717;3142;2020;20200025;EMAPAB S.A.;AMAZONAS;BAGUA;BAGUA;010201;771622.70;9377404.10;NORMAL;SECTOR NUEVO BAGUA ;34;1;125
